
YEAR        MONTH       DAY         SMOOTHED_SALES                   
       2012           9           5                         893094.34
       2012           9           6                         911925.42
       2012           9           7                         929361.75
       2012           9           8                         945823.49
       2012           9           9                         960185.21
       2012           9          10                         972514.76
       2012           9          11                         983210.09
       2012           9          12                         991460.81
       2012           9          13                         998339.90
       2012           9          14                        1003161.58
       2012           9          15                        1005610.18
       2012           9          16                        1006213.80
       2012           9          17                        1005558.91
       2012           9          18                        1002143.84
       2012           9          19                         997165.73
       2012           9          20                         989538.77
       2012           9          21                         979991.34
       2012           9          22                         969807.99
       2012           9          23                         957837.29
       2012           9          24                         944739.09
       2012           9          25                         928183.61
       2012           9          26                         910481.46
       2012           9          27                         891705.61
       2012           9          28                         870021.41
       2012           9          29                         848069.08
       2012           9          30                         825917.30
       2012          10           1                         802401.05
       2012          10           2                         777436.50
       2012          10           3                         751996.94
       2012          10           4                         726501.38
       2012          10           5                         699899.14
       2012          10           6                         672904.88
       2012          10           7                         645502.43
       2012          10           8                         618027.73
       2012          10           9                         590490.30
       2012          10          10                         562862.18
       2012          10          11                         535469.34
       2012          10          12                         508998.24
       2012          10          13                         482276.80
       2012          10          14                         455715.61
       2012          10          15                         430332.36
       2012          10          16                         406426.34
       2012          10          17                         382901.24
       2012          10          18                         359645.17
       2012          10          19                         337659.27
       2012          10          20                         315801.90
       2012          10          21                         295597.30
       2012          10          22                         275156.87
       2012          10          23                         255628.23
       2012          10          24                         236976.84
       2012          10          25                         218607.02
       2012          10          26                         202190.53
       2012          10          27                         186736.82
       2012          10          28                         172232.27
       2012          10          29                         158994.28
       2012          10          30                         146427.81
       2012          10          31                         134508.28
       2012          11           1                         123579.45
       2012          11           2                         113512.41
       2012          11           3                         104394.75
       2012          11           4                          95689.74
       2012          11           5                          87700.20
       2012          11           6                          80968.77
       2012          11           7                          75067.79
       2012          11           8                          70200.80
       2012          11           9                          65854.76
       2012          11          10                          62812.17
       2012          11          11                          60377.94
       2012          11          12                          58385.92
       2012          11          13                          57522.18
       2012          11          14                          57476.31
       2012          11          15                          58012.30
       2012          11          16                          59751.96
       2012          11          17                          62709.28
       2012          11          18                          66924.29
       2012          11          19                          72371.05
       2012          11          20                          79418.69
       2012          11          21                          88223.83
       2012          11          22                          99663.11
       2012          11          23                         112924.14
       2012          11          24                         128039.49
       2012          11          25                         146133.67
       2012          11          26                         167286.81
       2012          11          27                         190883.12
       2012          11          28                         217781.49
       2012          11          29                         248020.29
       2012          11          30                         282320.89
       2012          12           1                         320290.76
       2012          12           2                         360972.55
       2012          12           3                         406130.61
       2012          12           4                         453948.91
       2012          12           5                         505072.82
       2012          12           6                         559557.37
       2012          12           7                         616076.29
       2012          12           8                         675508.52
       2012          12           9                         736020.42
       2012          12          10                         798250.93
       2012          12          11                         861202.50
       2012          12          12                         922993.42
       2012          12          13                         985033.64
       2012          12          14                        1046108.49
       2012          12          15                        1104764.87
       2012          12          16                        1161698.76
       2012          12          17                        1215093.33
       2012          12          18                        1263993.25
       2012          12          19                        1309517.22
       2012          12          20                        1350542.38
       2012          12          21                        1385853.71
       2012          12          22                        1416963.09
       2012          12          23                        1443569.70
       2012          12          24                        1463804.58
       2012          12          25                        1479086.88
       2012          12          26                        1488126.86
       2012          12          27                        1490055.84
       2012          12          28                        1487168.39
       2012          12          29                        1477932.18
       2012          12          30                        1463698.24
       2012          12          31                        1442955.05
       2013           1           1                        1416760.53
       2013           1           2                        1386118.71
       2013           1           3                        1349602.21
       2013           1           4                        1308585.40
       2013           1           5                        1263063.06
       2013           1           6                        1213390.06
       2013           1           7                        1160201.03
       2013           1           8                        1103623.52
       2013           1           9                        1045148.72
       2013           1          10                         984289.70
       2013           1          11                         921739.90
       2013           1          12                         859881.51
       2013           1          13                         797254.76
       2013           1          14                         734659.48
       2013           1          15                         673688.46
       2013           1          16                         613957.84
       2013           1          17                         556871.08
       2013           1          18                         503145.74
       2013           1          19                         451753.09
       2013           1          20                         403761.84
       2013           1          21                         360083.86
       2013           1          22                         318974.01
       2013           1          23                         279929.14
       2013           1          24                         245623.60
       2013           1          25                         214468.27
       2013           1          26                         186573.50
       2013           1          27                         162941.21
       2013           1          28                         141459.82
       2013           1          29                         123139.19
       2013           1          30                         106725.30
       2013           1          31                          92567.66
       2013           2           1                          80329.36
       2013           2           2                          69785.46
       2013           2           3                          60535.47
       2013           2           4                          53185.68
       2013           2           5                          47020.03
       2013           2           6                          41479.30
       2013           2           7                          37299.80
       2013           2           8                          33333.53
       2013           2           9                          30263.13
       2013           2          10                          27368.34
       2013           2          11                          25128.81
       2013           2          12                          23211.65
       2013           2          13                          21473.49
       2013           2          14                          20310.69
       2013           2          15                          19267.13
       2013           2          16                          18334.23
       2013           2          17                          17569.02
       2013           2          18                          16887.16
       2013           2          19                          16283.15
       2013           2          20                          15883.67
       2013           2          21                          15405.95
       2013           2          22                          15104.31
       2013           2          23                          14814.85
       2013           2          24                          14594.39
       2013           2          25                          14319.80
       2013           2          26                          14231.17
       2013           2          27                          13988.52
       2013           2          28                          13927.06
       2013           3           1                          13766.88
       2013           3           2                          13635.97
       2013           3           3                          13628.52
       2013           3           4                          13529.63
       2013           3           5                          13557.14
       2013           3           6                          13468.78
       2013           3           7                          13355.90
       2013           3           8                          13191.47
       2013           3           9                          13140.52
       2013           3          10                          13100.44
       2013           3          11                          13167.84
       2013           3          12                          13192.73
       2013           3          13                          13244.57
       2013           3          14                          13194.55
       2013           3          15                          13217.35
       2013           3          16                          13329.32
       2013           3          17                          13346.41
       2013           3          18                          13396.60
       2013           3          19                          13257.88
       2013           3          20                          13341.61
       2013           3          21                          13617.97
       2013           3          22                          13685.72
       2013           3          23                          13849.68
       2013           3          24                          14066.55
       2013           3          25                          14292.90
       2013           3          26                          14559.89
       2013           3          27                          14700.72
       2013           3          28                          15050.04
       2013           3          29                          15424.30
       2013           3          30                          15889.42
       2013           3          31                          16412.58
       2013           4           1                          17154.80
       2013           4           2                          17820.15
       2013           4           3                          18757.18
       2013           4           4                          20196.76
       2013           4           5                          21644.97
       2013           4           6                          23423.06
       2013           4           7                          25409.69
       2013           4           8                          27747.19
       2013           4           9                          30356.80
       2013           4          10                          33367.09
       2013           4          11                          36797.94
       2013           4          12                          41078.30
       2013           4          13                          46045.17
       2013           4          14                          51121.74
       2013           4          15                          57529.93
       2013           4          16                          64717.32
       2013           4          17                          73082.10
       2013           4          18                          82779.52
       2013           4          19                          93517.19
       2013           4          20                         105028.66
       2013           4          21                         118262.29
       2013           4          22                         133250.31
       2013           4          23                         148614.42
       2013           4          24                         166364.81
       2013           4          25                         186121.81
       2013           4          26                         207597.32
       2013           4          27                         231682.55
       2013           4          28                         256563.71
       2013           4          29                         282903.39
       2013           4          30                         311207.68
       2013           5           1                         341417.58
       2013           5           2                         373359.14
       2013           5           3                         406430.33
       2013           5           4                         441636.37
       2013           5           5                         477782.22
       2013           5           6                         515161.44
       2013           5           7                         554283.20
       2013           5           8                         595564.83
       2013           5           9                         636511.74
       2013           5          10                         678239.90
       2013           5          11                         721154.98
       2013           5          12                         763269.13
       2013           5          13                         805449.35
       2013           5          14                         847427.21
       2013           5          15                         889665.43
       2013           5          16                         930191.18
       2013           5          17                         970152.25
       2013           5          18                        1007872.14
       2013           5          19                        1043948.55
       2013           5          20                        1077301.08
       2013           5          21                        1109189.56
       2013           5          22                        1138433.01
       2013           5          23                        1163885.32
       2013           5          24                        1187879.13
       2013           5          25                        1208615.58
       2013           5          26                        1224996.72
       2013           5          27                        1238093.90
       2013           5          28                        1245503.69
       2013           5          29                        1250980.02
       2013           5          30                        1253178.40
       2013           5          31                        1251342.99
       2013           6           1                        1246023.92
       2013           6           2                        1236900.55
       2013           6           3                        1224199.48
       2013           6           4                        1206969.51
       2013           6           5                        1186646.08
       2013           6           6                        1164107.31
       2013           6           7                        1137946.28
       2013           6           8                        1107965.23
       2013           6           9                        1076510.63
       2013           6          10                        1042494.12
       2013           6          11                        1006123.82
       2013           6          12                         969199.68
       2013           6          13                         929839.95
       2013           6          14                         889293.49
       2013           6          15                         847095.49
       2013           6          16                         805247.90
       2013           6          17                         761987.27
       2013           6          18                         719497.11
       2013           6          19                         677086.78
       2013           6          20                         635618.06
       2013           6          21                         594410.21
       2013           6          22                         553640.47
       2013           6          23                         514828.49
       2013           6          24                         476888.48
       2013           6          25                         439607.77
       2013           6          26                         404197.94
       2013           6          27                         370359.86
       2013           6          28                         339364.02
       2013           6          29                         309442.63
       2013           6          30                         281352.63
       2013           7           1                         255227.34
       2013           7           2                         230403.04
       2013           7           3                         207690.78
       2013           7           4                         187395.86
       2013           7           5                         169164.42
       2013           7           6                         152767.36
       2013           7           7                         137228.49
       2013           7           8                         123424.51
       2013           7           9                         111287.00
       2013           7          10                         100530.97
       2013           7          11                          91530.19
       2013           7          12                          83526.12
       2013           7          13                          76660.85
       2013           7          14                          71398.46
       2013           7          15                          67351.92
       2013           7          16                          64715.52
       2013           7          17                          62095.26
       2013           7          18                          61045.91
       2013           7          19                          60619.37
       2013           7          20                          60617.38
       2013           7          21                          62055.93
       2013           7          22                          64132.52
       2013           7          23                          67343.68
       2013           7          24                          70916.64
       2013           7          25                          75206.67
       2013           7          26                          80258.17
       2013           7          27                          86154.25
       2013           7          28                          92867.75
       2013           7          29                         100531.66
       2013           7          30                         108982.34
       2013           7          31                         118348.78
       2013           8           1                         127948.18
       2013           8           2                         138934.79
       2013           8           3                         150866.68
       2013           8           4                         163946.09
       2013           8           5                         177467.77
       2013           8           6                         192103.59
       2013           8           7                         207781.47
       2013           8           8                         224229.29
       2013           8           9                         241357.56
       2013           8          10                         260243.34
       2013           8          11                         278890.14
       2013           8          12                         298579.67
       2013           8          13                         319193.17
       2013           8          14                         341240.11
       2013           8          15                         363876.33
       2013           8          16                         387345.84
       2013           8          17                         411559.34
       2013           8          18                         437491.21
       2013           8          19                         462728.94
       2013           8          20                         489092.44
       2013           8          21                         515463.67
       2013           8          22                         542763.41
       2013           8          23                         570298.83
       2013           8          24                         597589.23
       2013           8          25                         624955.14
       2013           8          26                         652650.68
       2013           8          27                         679415.67
       2013           8          28                         706694.64
       2013           8          29                         733877.60
       2013           8          30                         759243.20
       2013           8          31                         783769.92
       2013           9           1                         808104.24
       2013           9           2                         832350.89
       2013           9           3                         855050.69
       2013           9           4                         876741.39
       2013           9           5                         898029.86
       2013           9           6                         917270.52
       2013           9           7                         934864.55
       2013           9           8                         950652.50
       2013           9           9                         965229.63
       2013           9          10                         977628.59
       2013           9          11                         988726.05
       2013           9          12                         998101.40
       2013           9          13                        1004482.22
       2013           9          14                        1009720.45
       2013           9          15                        1012603.50
       2013           9          16                        1013128.73
       2013           9          17                        1012159.90
       2013           9          18                        1008243.27
       2013           9          19                        1003501.99
       2013           9          20                         996096.03
       2013           9          21                         987161.88
       2013           9          22                         975683.67
       2013           9          23                         962707.87
       2013           9          24                         948184.86
       2013           9          25                         932326.41
       2013           9          26                         914584.03
       2013           9          27                         896586.31
       2013           9          28                         875430.43
       2013           9          29                         852859.99
       2013           9          30                         830746.90
       2013          10           1                         807975.37
       2013          10           2                         784081.05
       2013          10           3                         758560.57
       2013          10           4                         732308.82
       2013          10           5                         705362.99
       2013          10           6                         677577.66
       2013          10           7                         650264.08
       2013          10           8                         622220.85
       2013          10           9                         595085.73
       2013          10          10                         567744.91
       2013          10          11                         540279.72
       2013          10          12                         513794.26
       2013          10          13                         487348.29
       2013          10          14                         462280.16
       2013          10          15                         436496.68
       2013          10          16                         411372.20
       2013          10          17                         387290.75
       2013          10          18                         363939.63
       2013          10          19                         341102.23
       2013          10          20                         319127.33
       2013          10          21                         298579.51
       2013          10          22                         278408.96
       2013          10          23                         259586.14
       2013          10          24                         240963.55
       2013          10          25                         224135.09
       2013          10          26                         207878.82
       2013          10          27                         192410.02
       2013          10          28                         177480.63
       2013          10          29                         164457.59
       2013          10          30                         152135.39
       2013          10          31                         140422.64
       2013          11           1                         129354.73
       2013          11           2                         119392.02
       2013          11           3                         109900.59
       2013          11           4                         101522.80
       2013          11           5                          93913.68
       2013          11           6                          87490.80
       2013          11           7                          81276.60
       2013          11           8                          76495.15
       2013          11           9                          71936.14
       2013          11          10                          68352.63
       2013          11          11                          65551.40
       2013          11          12                          63468.75
       2013          11          13                          61971.49
       2013          11          14                          61445.86
       2013          11          15                          61736.94
       2013          11          16                          63403.33
       2013          11          17                          66594.42
       2013          11          18                          70971.51
       2013          11          19                          76416.43
       2013          11          20                          83738.56
       2013          11          21                          92624.49
       2013          11          22                         103506.26
       2013          11          23                         116322.47
       2013          11          24                         131549.25
       2013          11          25                         149452.91
       2013          11          26                         169727.34
       2013          11          27                         193660.02
       2013          11          28                         220867.79
       2013          11          29                         250655.21
       2013          11          30                         284392.86
       2013          12           1                         322588.68
       2013          12           2                         362961.83
       2013          12           3                         407093.65
       2013          12           4                         455952.19
       2013          12           5                         508225.41
       2013          12           6                         562500.25
       2013          12           7                         619625.25
       2013          12           8                         678990.65
       2013          12           9                         739006.77
       2013          12          10                         801370.24
       2013          12          11                         863845.35
       2013          12          12                         925887.34
       2013          12          13                         988671.52
       2013          12          14                        1049150.67
       2013          12          15                        1109668.78
       2013          12          16                        1166117.01
       2013          12          17                        1219205.69
       2013          12          18                        1268763.07
       2013          12          19                        1313989.18
       2013          12          20                        1355462.81
       2013          12          21                        1391695.82
       2013          12          22                        1422730.38
       2013          12          23                        1448003.66
       2013          12          24                        1468366.24
       2013          12          25                        1483352.46
       2013          12          26                        1492126.07
       2013          12          27                        1495687.87
       2013          12          28                        1492954.41
       2013          12          29                        1483657.08
       2013          12          30                        1469691.25
       2013          12          31                        1448999.92
       2014           1           1                        1422325.89
       2014           1           2                        1391265.33
       2014           1           3                        1355014.45
       2014           1           4                        1313124.78
       2014           1           5                        1266610.06
       2014           1           6                        1216892.20
       2014           1           7                        1163125.19
       2014           1           8                        1106823.93
       2014           1           9                        1048752.55
       2014           1          10                         987727.28
       2014           1          11                         925744.22
       2014           1          12                         863396.07
       2014           1          13                         799633.50
       2014           1          14                         738060.05
       2014           1          15                         675518.01
       2014           1          16                         616360.94
       2014           1          17                         559759.78
       2014           1          18                         505268.28
       2014           1          19                         453940.36
       2014           1          20                         405408.28
       2014           1          21                         360650.69
       2014           1          22                         319340.20
       2014           1          23                         282248.35
       2014           1          24                         248040.96
       2014           1          25                         217169.19
       2014           1          26                         189523.70
       2014           1          27                         164901.22
       2014           1          28                         142846.67
       2014           1          29                         124401.71
       2014           1          30                         107913.13
       2014           1          31                          94436.14
       2014           2           1                          82326.84
       2014           2           2                          72259.51
       2014           2           3                          63800.96
       2014           2           4                          56274.10
       2014           2           5                          49958.83
       2014           2           6                          44617.06
       2014           2           7                          40034.59
       2014           2           8                          36000.68
       2014           2           9                          32913.27
       2014           2          10                          30227.97
       2014           2          11                          28046.17
       2014           2          12                          26373.85
       2014           2          13                          24902.83
       2014           2          14                          23485.97
       2014           2          15                          22398.32
       2014           2          16                          21517.02
       2014           2          17                          20751.02
       2014           2          18                          20218.74
       2014           2          19                          19655.48
       2014           2          20                          19398.51
       2014           2          21                          18964.07
       2014           2          22                          18676.23
       2014           2          23                          18329.20
       2014           2          24                          18097.47
       2014           2          25                          17820.48
       2014           2          26                          17758.21
       2014           2          27                          17491.15
       2014           2          28                          17637.66
       2014           3           1                          17529.66
       2014           3           2                          17502.13
       2014           3           3                          17355.59
       2014           3           4                          17290.81
       2014           3           5                          17271.31
       2014           3           6                          17150.85
       2014           3           7                          16976.45
       2014           3           8                          16976.99
       2014           3           9                          16839.98
       2014           3          10                          16957.41
       2014           3          11                          16926.27
       2014           3          12                          16991.07
       2014           3          13                          17057.65
       2014           3          14                          17111.66
       2014           3          15                          17298.60
       2014           3          16                          17359.20
       2014           3          17                          17372.52
       2014           3          18                          17566.84
       2014           3          19                          17595.51
       2014           3          20                          17657.14
       2014           3          21                          17662.76
       2014           3          22                          17751.78
       2014           3          23                          17772.57
       2014           3          24                          17965.75
       2014           3          25                          18130.80
       2014           3          26                          18472.14
       2014           3          27                          18735.42
       2014           3          28                          18922.03
       2014           3          29                          19379.94
       2014           3          30                          19868.77
       2014           3          31                          20289.36
       2014           4           1                          20999.58
       2014           4           2                          21957.12
       2014           4           3                          22975.67
       2014           4           4                          24074.52
       2014           4           5                          25566.58
       2014           4           6                          27358.20
       2014           4           7                          29432.35
       2014           4           8                          31759.64
       2014           4           9                          34745.48
       2014           4          10                          37545.10
       2014           4          11                          41271.73
       2014           4          12                          45588.40
       2014           4          13                          50069.23
       2014           4          14                          55616.08
       2014           4          15                          61665.39
       2014           4          16                          68914.42
       2014           4          17                          77183.09
       2014           4          18                          86966.92
       2014           4          19                          97121.37
       2014           4          20                         109449.94
       2014           4          21                         123123.31
       2014           4          22                         138269.90
       2014           4          23                         154091.91
       2014           4          24                         172127.92
       2014           4          25                         191442.93
       2014           4          26                         212456.16
       2014           4          27                         234997.92
       2014           4          28                         259938.13
       2014           4          29                         286336.28
       2014           4          30                         314951.00
       2014           5           1                         345768.60
       2014           5           2                         377281.83
       2014           5           3                         410477.69
       2014           5           4                         446410.66
       2014           5           5                         483989.78
       2014           5           6                         522220.28
       2014           5           7                         561371.15
       2014           5           8                         601628.39
       2014           5           9                         643408.76
       2014           5          10                         684374.81
       2014           5          11                         727734.01
       2014           5          12                         770644.20
       2014           5          13                         813053.33
       2014           5          14                         856387.38
       2014           5          15                         898857.45
       2014           5          16                         939724.96
       2014           5          17                         979528.85
       2014           5          18                        1017840.56
       2014           5          19                        1053598.78
       2014           5          20                        1086856.69
       2014           5          21                        1118524.95
       2014           5          22                        1148153.03
       2014           5          23                        1174570.32
       2014           5          24                        1197800.60
       2014           5          25                        1216670.51
       2014           5          26                        1233187.45
       2014           5          27                        1246732.50
       2014           5          28                        1256175.81
       2014           5          29                        1260933.65
       2014           5          30                        1262852.69
       2014           5          31                        1260845.00
       2014           6           1                        1253859.52
       2014           6           2                        1245163.27
       2014           6           3                        1232721.91
       2014           6           4                        1214610.95
       2014           6           5                        1193388.38
       2014           6           6                        1170276.30
       2014           6           7                        1143976.31
       2014           6           8                        1114789.61
       2014           6           9                        1082275.88
       2014           6          10                        1048567.67
       2014           6          11                        1011545.43
       2014           6          12                         973316.82
       2014           6          13                         933790.27
       2014           6          14                         892278.00
       2014           6          15                         849961.36
       2014           6          16                         807732.70
       2014           6          17                         765178.74
       2014           6          18                         722377.41
       2014           6          19                         679577.60
       2014           6          20                         638981.13
       2014           6          21                         597511.50
       2014           6          22                         556053.74
       2014           6          23                         516299.83
       2014           6          24                         478667.80
       2014           6          25                         442954.43
       2014           6          26                         408019.05
       2014           6          27                         374248.67
       2014           6          28                         342962.81
       2014           6          29                         313937.57
       2014           6          30                         285869.25
       2014           7           1                         259460.70
       2014           7           2                         235930.10
       2014           7           3                         213193.92
       2014           7           4                         192219.67
       2014           7           5                         174053.80
       2014           7           6                         157594.44
       2014           7           7                         141917.83
       2014           7           8                         128186.31
       2014           7           9                         116257.04
       2014           7          10                         105689.44
       2014           7          11                          96861.58
       2014           7          12                          89134.05
       2014           7          13                          82315.48
       2014           7          14                          76810.40
       2014           7          15                          72454.41
       2014           7          16                          69029.68
       2014           7          17                          66869.86
       2014           7          18                          65546.51
       2014           7          19                          65054.81
       2014           7          20                          66143.19
       2014           7          21                          67178.30
       2014           7          22                          68743.56
       2014           7          23                          71763.27
       2014           7          24                          74986.66
       2014           7          25                          79289.60
       2014           7          26                          84871.01
       2014           7          27                          91039.74
       2014           7          28                          97937.12
       2014           7          29                         105163.65
       2014           7          30                         113312.70
       2014           7          31                         122658.87
       2014           8           1                         133318.67
       2014           8           2                         143805.17
       2014           8           3                         155567.28
       2014           8           4                         168035.76
       2014           8           5                         181550.23
       2014           8           6                         195806.24
       2014           8           7                         210787.81
       2014           8           8                         227755.31
       2014           8           9                         244929.78
       2014           8          10                         263672.08
       2014           8          11                         282907.82
       2014           8          12                         303338.09
       2014           8          13                         324588.94
       2014           8          14                         346142.60
       2014           8          15                         368449.69
       2014           8          16                         391263.83
       2014           8          17                         415256.07
       2014           8          18                         439666.41
       2014           8          19                         465046.98
       2014           8          20                         491274.47
       2014           8          21                         518049.33
       2014           8          22                         544632.09
       2014           8          23                         572425.33
       2014           8          24                         599868.60
       2014           8          25                         627385.60
       2014           8          26                         654911.13
       2014           8          27                         682578.36
       2014           8          28                         709468.38
       2014           8          29                         736016.23
       2014           8          30                         762692.53
       2014           8          31                         787334.19
       2014           9           1                         811993.04
       2014           9           2                         836791.08
       2014           9           3                         860120.34
       2014           9           4                         881761.87
       2014           9           5                         901378.69
       2014           9           6                         920323.17
       2014           9           7                         939040.87
       2014           9           8                         954316.91
       2014           9           9                         968638.73
       2014           9          10                         980843.78
