
PUBLISHER                                LANGUAGE             GENRE                PERCENTAGE
Hawkers                                  Urdu                 Science Fiction          0.0016
Hawkers                                  Urdu                 Short Stories            0.0007
Hawkers                                  Urdu                 Western                  0.0005
Hawkers                                  Urdu                 -                        0.0135
Hawkers                                  -                    Fantasy                  0.0506
Hawkers                                  -                    Fiction                  0.0817
Hawkers                                  -                    Historical               0.0383
Hawkers                                  -                    Mystery                  0.0197
Hawkers                                  -                    Romance                  0.0234
Hawkers                                  -                    Science Fiction          0.0288
Hawkers                                  -                    Short Stories            0.0203
Hawkers                                  -                    Western                  0.0261
Hawkers                                  -                    -                        0.2892
Holier Than Thou                         Arabic               Children's               0.0000
Holier Than Thou                         Arabic               Multi-Cultural           0.0001
Holier Than Thou                         Arabic               Poetry                   0.0000
Holier Than Thou                         Arabic               Religious                0.0003
Holier Than Thou                         Arabic               -                        0.0005
Holier Than Thou                         Cantonese            Children's               0.0000
Holier Than Thou                         Cantonese            Multi-Cultural           0.0001
Holier Than Thou                         Cantonese            Poetry                   0.0002
Holier Than Thou                         Cantonese            Religious                0.0000
Holier Than Thou                         Cantonese            -                        0.0004
Holier Than Thou                         English              Children's               0.0000
Holier Than Thou                         English              Multi-Cultural           0.0002
Holier Than Thou                         English              Poetry                   0.0001
Holier Than Thou                         English              Religious                0.0004
Holier Than Thou                         English              -                        0.0008
Holier Than Thou                         Farsi                Children's               0.0000
Holier Than Thou                         Farsi                Multi-Cultural           0.0000
Holier Than Thou                         Farsi                Poetry                   0.0001
Holier Than Thou                         Farsi                Religious                0.0001
Holier Than Thou                         Farsi                -                        0.0003
Holier Than Thou                         French               Children's               0.0000
Holier Than Thou                         French               Multi-Cultural           0.0001
Holier Than Thou                         French               Poetry                   0.0001
Holier Than Thou                         French               Religious                0.0001
Holier Than Thou                         French               -                        0.0004
Holier Than Thou                         Hebrew               Children's               0.0000
Holier Than Thou                         Hebrew               Multi-Cultural           0.0001
Holier Than Thou                         Hebrew               Poetry                   0.0000
Holier Than Thou                         Hebrew               Religious                0.0005
Holier Than Thou                         Hebrew               -                        0.0008
Holier Than Thou                         Italian              Children's               0.0001
Holier Than Thou                         Italian              Multi-Cultural           0.0000
Holier Than Thou                         Italian              Poetry                   0.0001
Holier Than Thou                         Italian              Religious                0.0001
Holier Than Thou                         Italian              -                        0.0004
Holier Than Thou                         Japanese             Children's               0.0001
Holier Than Thou                         Japanese             Multi-Cultural           0.0000
Holier Than Thou                         Japanese             Poetry                   0.0001
Holier Than Thou                         Japanese             Religious                0.0001
Holier Than Thou                         Japanese             -                        0.0003
Holier Than Thou                         Korean               Children's               0.0000
Holier Than Thou                         Korean               Multi-Cultural           0.0000
Holier Than Thou                         Korean               Poetry                   0.0000
Holier Than Thou                         Korean               Religious                0.0001
Holier Than Thou                         Korean               -                        0.0002
Holier Than Thou                         Mandarin             Children's               0.0000
Holier Than Thou                         Mandarin             Multi-Cultural           0.0000
Holier Than Thou                         Mandarin             Poetry                   0.0001
Holier Than Thou                         Mandarin             Religious                0.0000
Holier Than Thou                         Mandarin             -                        0.0003
Holier Than Thou                         Russian              Children's               0.0000
Holier Than Thou                         Russian              Multi-Cultural           0.0000
Holier Than Thou                         Russian              Poetry                   0.0002
Holier Than Thou                         Russian              Religious                0.0001
Holier Than Thou                         Russian              -                        0.0004
Holier Than Thou                         Spanish              Children's               0.0000
Holier Than Thou                         Spanish              Multi-Cultural           0.0000
Holier Than Thou                         Spanish              Poetry                   0.0001
Holier Than Thou                         Spanish              Religious                0.0001
Holier Than Thou                         Spanish              -                        0.0002
Holier Than Thou                         Urdu                 Children's               0.0000
Holier Than Thou                         Urdu                 Multi-Cultural           0.0000
Holier Than Thou                         Urdu                 Poetry                   0.0001
Holier Than Thou                         Urdu                 Religious                0.0001
Holier Than Thou                         Urdu                 -                        0.0003
Holier Than Thou                         -                    Children's               0.0006
Holier Than Thou                         -                    Multi-Cultural           0.0010
Holier Than Thou                         -                    Poetry                   0.0016
Holier Than Thou                         -                    Religious                0.0024
Holier Than Thou                         -                    -                        0.0057
Pi Press                                 Arabic               Education                0.0011
Pi Press                                 Arabic               Science                  0.0021
Pi Press                                 Arabic               -                        0.0032
Pi Press                                 Cantonese            Education                0.0008
Pi Press                                 Cantonese            Science                  0.0017
Pi Press                                 Cantonese            -                        0.0025
Pi Press                                 English              Education                0.0035
Pi Press                                 English              Science                  0.0071
Pi Press                                 English              -                        0.0106
Pi Press                                 Farsi                Education                0.0007
Pi Press                                 Farsi                Science                  0.0017
Pi Press                                 Farsi                -                        0.0025
Pi Press                                 French               Education                0.0019
Pi Press                                 French               Science                  0.0045
Pi Press                                 French               -                        0.0065
Pi Press                                 Hebrew               Education                0.0005
Pi Press                                 Hebrew               Science                  0.0014
Pi Press                                 Hebrew               -                        0.0019
Pi Press                                 Italian              Education                0.0005
Pi Press                                 Italian              Science                  0.0040
Pi Press                                 Italian              -                        0.0045
Pi Press                                 Japanese             Education                0.0006
Pi Press                                 Japanese             Science                  0.0023
Pi Press                                 Japanese             -                        0.0029
Pi Press                                 Korean               Education                0.0014
Pi Press                                 Korean               Science                  0.0015
Pi Press                                 Korean               -                        0.0030
Pi Press                                 Mandarin             Education                0.0009
Pi Press                                 Mandarin             Science                  0.0022
Pi Press                                 Mandarin             -                        0.0031
Pi Press                                 Russian              Education                0.0010
Pi Press                                 Russian              Science                  0.0031
Pi Press                                 Russian              -                        0.0041
Pi Press                                 Spanish              Education                0.0011
Pi Press                                 Spanish              Science                  0.0024
Pi Press                                 Spanish              -                        0.0035
Pi Press                                 Urdu                 Education                0.0006
Pi Press                                 Urdu                 Science                  0.0021
Pi Press                                 Urdu                 -                        0.0028
Pi Press                                 -                    Education                0.0150
Pi Press                                 -                    Science                  0.0366
Pi Press                                 -                    -                        0.0516
Print More                               Arabic               Children's               0.0000
Print More                               Arabic               Fantasy                  0.0000
Print More                               Arabic               Historical               0.0000
Print More                               Arabic               Mystery                  0.0000
Print More                               Arabic               Religious                0.0000
Print More                               Arabic               Short Stories            0.0003
Print More                               Arabic               Travel and Adventure     0.0000
Print More                               Arabic               -                        0.0005
Print More                               Cantonese            Children's               0.0000
Print More                               Cantonese            Fantasy                  0.0000
Print More                               Cantonese            Historical               0.0000
Print More                               Cantonese            Religious                0.0000
Print More                               Cantonese            Romance                  0.0000
Print More                               Cantonese            Short Stories            0.0002
Print More                               Cantonese            Travel and Adventure     0.0000
Print More                               Cantonese            Western                  0.0000
Print More                               Cantonese            -                        0.0005
Print More                               English              Children's               0.0002
Print More                               English              Fantasy                  0.0001
Print More                               English              Historical               0.0001
Print More                               English              Mystery                  0.0001
Print More                               English              Religious                0.0000
Print More                               English              Romance                  0.0002
Print More                               English              Short Stories            0.0003
Print More                               English              Travel and Adventure     0.0001
Print More                               English              Western                  0.0004
Print More                               English              -                        0.0017
Print More                               Farsi                Children's               0.0000
Print More                               Farsi                Mystery                  0.0000
Print More                               Farsi                Religious                0.0000
Print More                               Farsi                Romance                  0.0000
Print More                               Farsi                Short Stories            0.0002
Print More                               Farsi                -                        0.0003
Print More                               French               Children's               0.0000
Print More                               French               Fantasy                  0.0000
Print More                               French               Historical               0.0001
Print More                               French               Mystery                  0.0001
Print More                               French               Religious                0.0000
Print More                               French               Romance                  0.0001
Print More                               French               Short Stories            0.0001
Print More                               French               Travel and Adventure     0.0000
Print More                               French               Western                  0.0000
Print More                               French               -                        0.0007
Print More                               Hebrew               Children's               0.0000
Print More                               Hebrew               Fantasy                  0.0000
Print More                               Hebrew               Historical               0.0000
Print More                               Hebrew               Mystery                  0.0001
Print More                               Hebrew               Religious                0.0001
Print More                               Hebrew               Romance                  0.0000
Print More                               Hebrew               Short Stories            0.0000
Print More                               Hebrew               Travel and Adventure     0.0001
Print More                               Hebrew               Western                  0.0000
Print More                               Hebrew               -                        0.0007
Print More                               Italian              Children's               0.0000
Print More                               Italian              Fantasy                  0.0000
Print More                               Italian              Historical               0.0000
Print More                               Italian              Mystery                  0.0000
Print More                               Italian              Religious                0.0000
Print More                               Italian              Romance                  0.0000
Print More                               Italian              Short Stories            0.0001
Print More                               Italian              Travel and Adventure     0.0002
Print More                               Italian              Western                  0.0000
Print More                               Italian              -                        0.0006
Print More                               Japanese             Children's               0.0001
Print More                               Japanese             Historical               0.0000
Print More                               Japanese             Mystery                  0.0000
Print More                               Japanese             Romance                  0.0000
Print More                               Japanese             Short Stories            0.0005
Print More                               Japanese             Travel and Adventure     0.0000
Print More                               Japanese             Western                  0.0000
Print More                               Japanese             -                        0.0008
Print More                               Korean               Children's               0.0000
Print More                               Korean               Fantasy                  0.0000
Print More                               Korean               Historical               0.0001
Print More                               Korean               Mystery                  0.0000
Print More                               Korean               Religious                0.0000
Print More                               Korean               Romance                  0.0000
Print More                               Korean               Short Stories            0.0001
Print More                               Korean               Travel and Adventure     0.0001
Print More                               Korean               Western                  0.0000
Print More                               Korean               -                        0.0005
Print More                               Mandarin             Children's               0.0000
Print More                               Mandarin             Fantasy                  0.0000
Print More                               Mandarin             Historical               0.0000
Print More                               Mandarin             Short Stories            0.0001
Print More                               Mandarin             Travel and Adventure     0.0001
Print More                               Mandarin             Western                  0.0001
Print More                               Mandarin             -                        0.0005
Print More                               Russian              Children's               0.0001
Print More                               Russian              Fantasy                  0.0000
Print More                               Russian              Historical               0.0000
Print More                               Russian              Mystery                  0.0000
Print More                               Russian              Religious                0.0000
Print More                               Russian              Romance                  0.0001
Print More                               Russian              Short Stories            0.0001
Print More                               Russian              Travel and Adventure     0.0001
Print More                               Russian              Western                  0.0000
Print More                               Russian              -                        0.0008
Print More                               Spanish              Children's               0.0000
Print More                               Spanish              Fantasy                  0.0001
Print More                               Spanish              Mystery                  0.0000
Print More                               Spanish              Religious                0.0000
Print More                               Spanish              Romance                  0.0001
Print More                               Spanish              Short Stories            0.0001
Print More                               Spanish              Travel and Adventure     0.0002
Print More                               Spanish              Western                  0.0000
Print More                               Spanish              -                        0.0009
Print More                               Urdu                 Children's               0.0000
Print More                               Urdu                 Religious                0.0000
Print More                               Urdu                 Romance                  0.0000
Print More                               Urdu                 Short Stories            0.0000
Print More                               Urdu                 Travel and Adventure     0.0001
Print More                               Urdu                 -                        0.0003
Print More                               -                    Children's               0.0010
Print More                               -                    Fantasy                  0.0006
Print More                               -                    Historical               0.0007
Print More                               -                    Mystery                  0.0006
Print More                               -                    Religious                0.0005
Print More                               -                    Romance                  0.0007
Print More                               -                    Short Stories            0.0027
Print More                               -                    Travel and Adventure     0.0015
Print More                               -                    Western                  0.0008
Print More                               -                    -                        0.0093
Random Books                             Arabic               Children's               0.0008
Random Books                             Arabic               Fantasy                  0.0010
Random Books                             Arabic               Fiction                  0.0008
Random Books                             Arabic               Mystery                  0.0010
Random Books                             Arabic               Poetry                   0.0018
Random Books                             Arabic               Romance                  0.0019
Random Books                             Arabic               Science                  0.0011
Random Books                             Arabic               Science Fiction          0.0011
Random Books                             Arabic               Travel and Adventure     0.0010
Random Books                             Arabic               Western                  0.0002
Random Books                             Arabic               -                        0.0112
Random Books                             Cantonese            Children's               0.0006
Random Books                             Cantonese            Fantasy                  0.0010
Random Books                             Cantonese            Fiction                  0.0007
Random Books                             Cantonese            Mystery                  0.0021
Random Books                             Cantonese            Poetry                   0.0024
Random Books                             Cantonese            Romance                  0.0013
Random Books                             Cantonese            Science                  0.0012
Random Books                             Cantonese            Science Fiction          0.0012
Random Books                             Cantonese            Travel and Adventure     0.0013
Random Books                             Cantonese            Western                  0.0007
Random Books                             Cantonese            -                        0.0128
Random Books                             English              Children's               0.0038
Random Books                             English              Fantasy                  0.0047
Random Books                             English              Fiction                  0.0043
Random Books                             English              Mystery                  0.0060
Random Books                             English              Poetry                   0.0039
Random Books                             English              Romance                  0.0082
Random Books                             English              Science                  0.0033
Random Books                             English              Science Fiction          0.0054
Random Books                             English              Travel and Adventure     0.0026
Random Books                             English              Western                  0.0065
Random Books                             English              -                        0.0492
Random Books                             Farsi                Children's               0.0008
Random Books                             Farsi                Fantasy                  0.0012
Random Books                             Farsi                Fiction                  0.0008
Random Books                             Farsi                Mystery                  0.0014
Random Books                             Farsi                Poetry                   0.0022
Random Books                             Farsi                Romance                  0.0027
Random Books                             Farsi                Science                  0.0011
Random Books                             Farsi                Science Fiction          0.0011
Random Books                             Farsi                Travel and Adventure     0.0010
Random Books                             Farsi                Western                  0.0006
Random Books                             Farsi                -                        0.0132
Random Books                             French               Children's               0.0011
Random Books                             French               Fantasy                  0.0017
Random Books                             French               Fiction                  0.0013
Random Books                             French               Mystery                  0.0039
Random Books                             French               Poetry                   0.0069
Random Books                             French               Romance                  0.0151
Random Books                             French               Science                  0.0028
Random Books                             French               Science Fiction          0.0018
Random Books                             French               Travel and Adventure     0.0013
Random Books                             French               Western                  0.0018
Random Books                             French               -                        0.0380
Random Books                             Hebrew               Children's               0.0006
Random Books                             Hebrew               Fantasy                  0.0013
Random Books                             Hebrew               Fiction                  0.0008
Random Books                             Hebrew               Mystery                  0.0020
Random Books                             Hebrew               Poetry                   0.0025
Random Books                             Hebrew               Romance                  0.0031
Random Books                             Hebrew               Science                  0.0008
Random Books                             Hebrew               Science Fiction          0.0016
Random Books                             Hebrew               Travel and Adventure     0.0009
Random Books                             Hebrew               Western                  0.0002
Random Books                             Hebrew               -                        0.0141
Random Books                             Italian              Children's               0.0012
Random Books                             Italian              Fantasy                  0.0020
Random Books                             Italian              Fiction                  0.0009
Random Books                             Italian              Mystery                  0.0027
Random Books                             Italian              Poetry                   0.0026
Random Books                             Italian              Romance                  0.0045
Random Books                             Italian              Science                  0.0021
Random Books                             Italian              Science Fiction          0.0017
Random Books                             Italian              Travel and Adventure     0.0020
Random Books                             Italian              Western                  0.0011
Random Books                             Italian              -                        0.0212
Random Books                             Japanese             Children's               0.0016
Random Books                             Japanese             Fantasy                  0.0012
Random Books                             Japanese             Fiction                  0.0011
Random Books                             Japanese             Mystery                  0.0016
Random Books                             Japanese             Poetry                   0.0040
Random Books                             Japanese             Romance                  0.0032
Random Books                             Japanese             Science                  0.0010
Random Books                             Japanese             Science Fiction          0.0036
Random Books                             Japanese             Travel and Adventure     0.0014
Random Books                             Japanese             Western                  0.0008
Random Books                             Japanese             -                        0.0201
Random Books                             Korean               Children's               0.0017
Random Books                             Korean               Fantasy                  0.0011
Random Books                             Korean               Fiction                  0.0007
Random Books                             Korean               Mystery                  0.0020
Random Books                             Korean               Poetry                   0.0013
Random Books                             Korean               Romance                  0.0020
Random Books                             Korean               Science                  0.0010
Random Books                             Korean               Science Fiction          0.0025
Random Books                             Korean               Travel and Adventure     0.0011
Random Books                             Korean               Western                  0.0005
Random Books                             Korean               -                        0.0142
Random Books                             Mandarin             Children's               0.0005
Random Books                             Mandarin             Fantasy                  0.0016
Random Books                             Mandarin             Fiction                  0.0022
Random Books                             Mandarin             Mystery                  0.0014
Random Books                             Mandarin             Poetry                   0.0014
Random Books                             Mandarin             Romance                  0.0017
Random Books                             Mandarin             Science                  0.0013
Random Books                             Mandarin             Science Fiction          0.0022
Random Books                             Mandarin             Travel and Adventure     0.0016
Random Books                             Mandarin             Western                  0.0005
Random Books                             Mandarin             -                        0.0147
Random Books                             Russian              Children's               0.0026
Random Books                             Russian              Fantasy                  0.0022
Random Books                             Russian              Fiction                  0.0016
Random Books                             Russian              Mystery                  0.0015
Random Books                             Russian              Poetry                   0.0045
Random Books                             Russian              Romance                  0.0039
Random Books                             Russian              Science                  0.0015
Random Books                             Russian              Science Fiction          0.0022
Random Books                             Russian              Travel and Adventure     0.0018
Random Books                             Russian              Western                  0.0002
Random Books                             Russian              -                        0.0223
Random Books                             Spanish              Children's               0.0008
Random Books                             Spanish              Fantasy                  0.0036
Random Books                             Spanish              Fiction                  0.0026
Random Books                             Spanish              Mystery                  0.0026
Random Books                             Spanish              Poetry                   0.0024
Random Books                             Spanish              Romance                  0.0056
Random Books                             Spanish              Science                  0.0018
Random Books                             Spanish              Science Fiction          0.0018
Random Books                             Spanish              Travel and Adventure     0.0045
Random Books                             Spanish              Western                  0.0029
Random Books                             Spanish              -                        0.0290
Random Books                             Urdu                 Children's               0.0011
Random Books                             Urdu                 Fantasy                  0.0012
Random Books                             Urdu                 Fiction                  0.0011
Random Books                             Urdu                 Mystery                  0.0011
Random Books                             Urdu                 Poetry                   0.0021
Random Books                             Urdu                 Romance                  0.0025
Random Books                             Urdu                 Science                  0.0008
Random Books                             Urdu                 Science Fiction          0.0012
Random Books                             Urdu                 Travel and Adventure     0.0008
Random Books                             Urdu                 Western                  0.0002
Random Books                             Urdu                 -                        0.0124
Random Books                             -                    Children's               0.0178
Random Books                             -                    Fantasy                  0.0243
Random Books                             -                    Fiction                  0.0192
Random Books                             -                    Mystery                  0.0299
Random Books                             -                    Poetry                   0.0384
Random Books                             -                    Romance                  0.0561
Random Books                             -                    Science                  0.0203
Random Books                             -                    Science Fiction          0.0280
Random Books                             -                    Travel and Adventure     0.0218
Random Books                             -                    Western                  0.0166
Random Books                             -                    -                        0.2729
Really Dumb Press                        Arabic               Children's               0.0001
